,FIGHTER,KD,STR,TD,SUB,WEIGHT_CLASS,METHOD,ROUND,TIME
0,"Islam Makhachev
Charles Oliveira","1
0","30
19","2
0","1
0",Lightweight,"SUB
Arm Triangle",2,3:16
1,"Aljamain Sterling
TJ Dillashaw","0
0","72
8","5
0","2
0",Bantamweight,"KO/TKO
Punches",2,3:44
2,"Sean O'Malley
Petr Yan","0
0","84
58","0
6","0
0",Bantamweight,S-DEC,3,5:00
3,"Beneil Dariush
Mateusz Gamrot","1
0","59
33","0
4","0
0",Lightweight,U-DEC,3,5:00
4,"Manon Fiorot
Katlyn Chookagian","0
0","98
76","1
0","0
0",Women's Flyweight,U-DEC,3,5:00
5,"Belal Muhammad
Sean Brady","0
0","80
58","0
0","0
0",Welterweight,"KO/TKO
Punches",2,4:47
6,"Caio Borralho
Makhmud Muradov","0
0","19
14","1
2","2
0",Middleweight,U-DEC,3,5:00
7,"Nikita Krylov
Volkan Oezdemir","0
0","57
42","7
1","1
0",Light Heavyweight,U-DEC,3,5:00
8,"Abubakar Nurmagomedov
Gadzhi Omargadzhiev","0
0","40
38","1
1","0
0",Welterweight,U-DEC,3,5:00
9,"Armen Petrosyan
AJ Dobson","0
0","118
58","0
3","0
0",Middleweight,U-DEC,3,5:00
10,"Muhammad Mokaev
Malcolm Gordon","0
0","21
17","6
1","1
1",Flyweight,"SUB
Armbar",3,4:26
11,"Karol Rosa
Lina Lansberg","0
1","54
36","3
0","0
0",Women's Bantamweight,M-DEC,3,5:00
12,"Alexa Grasso
Viviane Araujo","0
0","153
126","0
2","0
0",Women's Flyweight,U-DEC,5,5:00
13,"Jonathan Martinez
Cub Swanson","2
0","62
51","0
1","0
0",Bantamweight,"KO/TKO
Kick",2,4:19
14,"Dusko Todorovic
Jordan Wright","0
0","61
25","0
3","0
1",Middleweight,"KO/TKO
Elbows",2,3:12
15,"Raphael Assuncao
Victor Henry","0
0","60
55","2
0","0
0",Bantamweight,U-DEC,3,5:00
16,"Alonzo Menifield
Misha Cirkunov","1
0","8
5","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,1:28
17,"Mana Martinez
Brandon Davis","2
0","87
76","1
1","0
0",Bantamweight,S-DEC,3,5:00
18,"Jacob Malkoun
Nick Maximov","0
0","83
34","9
0","0
0",Middleweight,U-DEC,3,5:00
19,"Joanderson Brito
Lucas Alexander","0
0","4
1","2
0","1
0",Featherweight,"SUB
Rear Naked Choke",1,2:02
20,"Piera Rodriguez
Sam Hughes","0
0","83
69","5
0","0
0",Women's Strawweight,U-DEC,3,5:00
21,"Tatsuro Taira
CJ Vergara","0
0","22
19","3
0","2
0",Flyweight,"SUB
Armbar",2,4:19
22,"Pete Rodriguez
Mike Jackson","1
0","22
10","0
0","0
0",Welterweight,"KO/TKO
Knee",1,1:33
23,"Yan Xiaonan
Mackenzie Dern","0
0","113
61","0
2","0
2",Women's Strawweight,M-DEC,5,5:00
24,"Randy Brown
Francisco Trinaldo","1
0","60
40","0
1","1
0",Welterweight,U-DEC,3,5:00
25,"Raoni Barcelos
Trevin Jones","1
0","73
11","2
0","0
0",Bantamweight,U-DEC,3,5:00
26,"Sodiq Yusuff
Don Shainis","0
0","9
3","0
0","1
0",Featherweight,"SUB
Guillotine Choke",1,0:30
27,"Mike Davis
Viacheslav Borshchev","0
0","65
63","9
0","1
0",Lightweight,U-DEC,3,5:00
28,"Daniel Santos
John Castaneda","1
1","69
57","2
3","0
0",Catch Weight,"KO/TKO
Knee",2,4:28
29,"Ilir Latifi
Aleksei Oleinik","0
0","38
28","3
0","0
0",Heavyweight,U-DEC,3,5:00
30,"Joaquim Silva
Jesse Ronson","1
0","45
39","0
0","0
0",Lightweight,"KO/TKO
Flying Knee",2,3:08
31,"Brendan Allen
Krzysztof Jotko","0
0","3
3","1
0","1
0",Middleweight,"SUB
Rear Naked Choke",1,4:17
32,"Chelsea Chandler
Julija Stoliarenko","0
0","38
12","0
1","0
0",Catch Weight,"KO/TKO
Punches",1,4:15
33,"Guido Cannetti
Randy Costa","0
0","8
2","1
0","1
0",Bantamweight,"SUB
Rear Naked Choke",1,1:04
34,"Cory Sandhagen
Song Yadong","0
0","94
54","1
2","0
0",Bantamweight,KO/TKO,4,5:00
35,"Gregory Rodrigues
Chidi Njokuani","1
0","48
44","1
0","0
0",Middleweight,"KO/TKO
Punches",2,1:27
36,"Andre Fili
Bill Algeo","0
0","59
81","1
0","2
0",Featherweight,S-DEC,3,5:00
37,"Joe Pyfer
Alen Amedovski","1
0","14
11","0
0","0
0",Middleweight,"KO/TKO
Punch",1,3:55
38,"Rodrigo Nascimento
Tanner Boser","0
0","36
62","3
0","1
0",Heavyweight,S-DEC,3,5:00
39,"Anthony Hernandez
Marc-Andre Barriault","0
0","39
25","8
0","2
0",Middleweight,"SUB
Arm Triangle",3,1:53
40,"Damon Jackson
Pat Sabatini","0
0","11
1","1
0","0
0",Featherweight,"KO/TKO
Punches",1,1:09
41,"Trevin Giles
Louis Cosce","0
0","25
10","2
1","0
1",Welterweight,U-DEC,3,5:00
42,"Loma Lookboonmee
Denise Gomes","0
0","48
19","4
0","0
3",Women's Strawweight,U-DEC,3,5:00
43,"Trey Ogden
Daniel Zellhuber","0
0","71
52","1
0","0
0",Lightweight,U-DEC,3,5:00
44,"Gillian Robertson
Mariya Agapova","0
0","4
39","3
0","1
1",Women's Flyweight,"SUB
Rear Naked Choke",2,2:19
45,"Javid Basharat
Tony Gravely","0
0","80
33","2
2","0
0",Bantamweight,U-DEC,3,5:00
46,"Nikolas Motta
Cameron VanCamp","1
0","24
15","0
0","0
0",Lightweight,"KO/TKO
Punch",1,3:49
47,"Nate Diaz
Tony Ferguson","0
0","101
80","0
1","1
0",Welterweight,"SUB
Guillotine Choke",4,2:52
48,"Khamzat Chimaev
Kevin Holland","0
0","0
0","2
0","2
0",Catch Weight,"SUB
D'Arce Choke",1,2:13
49,"Daniel Rodriguez
Li Jingliang","0
0","88
78","0
1","0
0",Catch Weight,S-DEC,3,5:00
50,"Irene Aldana
Macy Chiasson","1
0","37
39","0
3","2
0",Catch Weight,"KO/TKO
Kick",3,2:21
51,"Johnny Walker
Ion Cutelaba","0
0","3
3","1
1","3
0",Light Heavyweight,"SUB
Rear Naked Choke",1,4:37
52,"Julian Erosa
Hakeem Dawodu","0
0","92
74","2
0","0
0",Featherweight,U-DEC,3,5:00
53,"Jailton Almeida
Anton Turkalj","0
0","17
1","3
0","2
0",Catch Weight,"SUB
Rear Naked Choke",1,4:27
54,"Denis Tiuliulin
Jamie Pickett","2
0","73
60","0
0","0
0",Middleweight,"KO/TKO
Punches",2,4:52
55,"Chris Barnett
Jake Collier","0
1","54
51","0
1","0
1",Heavyweight,"KO/TKO
Punches",2,2:24
56,"Norma Dumont
Danyelle Wolf","1
0","52
20","2
0","0
0",Women's Featherweight,U-DEC,3,5:00
57,"Alatengheili
Chad Anheliger","0
0","49
39","2
0","0
0",Bantamweight,U-DEC,3,5:00
58,"Elise Reed
Melissa Martinez","1
0","38
45","3
1","0
0",Women's Strawweight,U-DEC,3,5:00
59,"Yohan Lainesse
Darian Weeks","0
0","23
44","0
1","0
0",Welterweight,S-DEC,3,5:00
60,"Ciryl Gane
Tai Tuivasa","1
1","110
29","0
0","0
0",Heavyweight,"KO/TKO
Punches",3,4:23
61,"Robert Whittaker
Marvin Vettori","0
0","74
33","1
0","0
0",Middleweight,U-DEC,3,5:00
62,"Nassourdine Imavov
Joaquin Buckley","0
0","51
46","2
0","2
0",Middleweight,U-DEC,3,5:00
63,"Roman Kopylov
Alessio Di Chirico","1
0","59
39","0
0","0
0",Middleweight,"KO/TKO
Punches",3,1:09
64,"William Gomis
Jarno Errens","0
0","32
20","3
0","0
1",Featherweight,U-DEC,3,5:00
65,"Nathaniel Wood
Charles Jourdain","0
0","97
86","5
1","0
0",Featherweight,U-DEC,3,5:00
66,"Abus Magomedov
Dustin Stoltzfus","1
0","7
0","0
0","0
0",Middleweight,"KO/TKO
Punches",1,0:19
67,"Nasrat Haqparast
John Makdessi","1
0","64
73","2
0","0
0",Lightweight,U-DEC,3,5:00
68,"Fares Ziam
Michal Figlak","0
0","60
28","3
1","0
0",Lightweight,U-DEC,3,5:00
69,"Benoit Saint Denis
Gabriel Miranda","3
0","42
20","1
1","0
0",Lightweight,"KO/TKO
Punch",2,0:16
70,"Cristian Quinonez
Khalid Taha","0
0","19
6","0
0","0
0",Bantamweight,"KO/TKO
Punches",1,3:15
71,"Stephanie Egger
Ailin Perez","0
0","15
16","2
1","1
0",Women's Featherweight,"SUB
Rear Naked Choke",2,4:54
72,"Leon Edwards
Kamaru Usman","1
0","55
83","1
5","1
0",Welterweight,"KO/TKO
Kick",5,4:04
73,"Paulo Costa
Luke Rockhold","0
0","73
51","2
1","0
0",Middleweight,U-DEC,3,5:00
74,"Merab Dvalishvili
Jose Aldo","0
0","57
38","0
0","0
0",Bantamweight,U-DEC,3,5:00
75,"Lucie Pudilova
Wu Yanan","0
0","39
26","2
0","1
0",Women's Bantamweight,"KO/TKO
Elbows",2,4:04
76,"Tyson Pedro
Harry Hunsucker","1
0","6
2","0
0","0
0",Light Heavyweight,"KO/TKO
Kick",1,1:05
77,"Marcin Tybura
Alexandr Romanov","0
0","47
40","0
2","0
0",Heavyweight,M-DEC,3,5:00
78,"Jared Gordon
Leonardo Santos","0
0","116
36","0
0","0
0",Lightweight,U-DEC,3,5:00
79,"Sean Woodson
Luis Saldana","0
2","73
91","0
1","1
0",Featherweight,S-DEC,3,5:00
80,"Ange Loosa
AJ Fletcher","0
0","129
87","2
0","0
0",Welterweight,U-DEC,3,5:00
81,"Amir Albazi
Francisco Figueiredo","0
0","12
11","2
0","1
0",Flyweight,"SUB
Rear Naked Choke",1,4:34
82,"Aoriqileng
Jay Perrin","0
0","72
88","0
3","0
0",Bantamweight,U-DEC,3,5:00
83,"Victor Altamirano
Daniel Da Silva","1
1","58
22","0
0","0
0",Flyweight,"KO/TKO
Punches",1,3:39
84,"Marlon Vera
Dominick Cruz","3
0","61
92","0
2","0
0",Bantamweight,"KO/TKO
Kick",4,2:17
85,"Nate Landwehr
David Onama","0
1","91
71","3
1","2
0",Featherweight,M-DEC,3,5:00
86,"Yazmin Jauregui
Iasmin Lucindo","0
0","86
66","0
0","0
0",Women's Strawweight,U-DEC,3,5:00
87,"Azamat Murzakanov
Devin Clark","1
0","79
14","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",3,1:18
88,"Priscila Cachoeira
Ariane Lipski","1
0","20
4","0
0","0
0",Women's Bantamweight,"KO/TKO
Punches",1,1:05
89,"Gerald Meerschaert
Bruno Silva","1
0","46
29","1
0","1
0",Middleweight,"SUB
Guillotine Choke",3,1:39
90,"Angela Hill
Loopy Godinez","0
0","85
92","1
1","0
0",Catch Weight,U-DEC,3,5:00
91,"Martin Buday
Lukasz Brzeski","0
0","66
118","0
0","0
0",Heavyweight,S-DEC,3,5:00
92,"Nina Nunes
Cynthia Calvillo","0
0","39
48","0
3","0
0",Women's Flyweight,S-DEC,3,5:00
93,"Gabriel Benitez
Charlie Ontiveros","0
0","37
22","1
0","0
0",Lightweight,"KO/TKO
Punches",1,3:33
94,"Tyson Nam
Ode Osbourne","1
0","13
15","0
0","0
0",Flyweight,"KO/TKO
Punch",1,2:59
95,"Josh Quinlan
Jason Witt","1
0","3
1","0
1","0
0",Catch Weight,"KO/TKO
Punch",1,2:09
96,"Youssef Zalal
Da'Mon Blackshear","0
0","63
27","1
1","1
1",Bantamweight,M-DEC,3,5:00
97,"Jamahal Hill
Thiago Santos","0
0","89
53","0
6","0
0",Light Heavyweight,"KO/TKO
Elbows",4,2:31
98,"Geoff Neal
Vicente Luque","2
0","121
97","1
0","0
0",Welterweight,"KO/TKO
Punches",3,2:01
99,"Mohammed Usman
Zac Pauga","1
0","12
32","0
0","0
0",Heavyweight,"KO/TKO
Punch",2,0:36
100,"Juliana Miller
Brogan Walker","0
0","54
30","4
0","1
0",Women's Flyweight,"KO/TKO
Elbows",3,3:57
101,"Serghei Spivac
Augusto Sakai","0
0","33
8","6
0","1
0",Heavyweight,"KO/TKO
Punches",2,3:42
102,"Terrance McKinney
Erick Gonzalez","0
0","18
9","1
0","1
0",Lightweight,"SUB
Rear Naked Choke",1,2:17
103,"Michal Oleksiejczuk
Sam Alvey","2
0","22
3","0
0","0
0",Middleweight,"KO/TKO
Punch",1,1:56
104,"Bryan Battle
Takashi Sato","1
0","7
2","0
0","0
0",Welterweight,"KO/TKO
Kick",1,0:44
105,"Cory McKenna
Miranda Granger","0
0","13
13","3
0","2
0",Women's Strawweight,"SUB
Von Flue Choke",2,1:03
106,"Mayra Bueno Silva
Stephanie Egger","0
0","4
8","0
1","1
0",Women's Bantamweight,"SUB
Armbar",1,1:17
107,"Amanda Nunes
Julianna Pena","3
0","85
60","6
0","1
1",Women's Bantamweight,U-DEC,5,5:00
108,"Brandon Moreno
Kai Kara-France","1
0","58
53","0
1","0
0",Flyweight,"KO/TKO
Kick",3,4:34
109,"Sergei Pavlovich
Derrick Lewis","1
0","15
4","0
0","0
0",Heavyweight,"KO/TKO
Punches",1,0:55
110,"Alexandre Pantoja
Alex Perez","0
0","8
10","1
0","1
0",Flyweight,"SUB
Neck Crank",1,1:31
111,"Magomed Ankalaev
Anthony Smith","0
0","46
18","0
0","0
0",Light Heavyweight,"KO/TKO
Punches",2,3:09
112,"Alex Morono
Matthew Semelsberger","0
1","106
74","0
1","0
0",Welterweight,U-DEC,3,5:00
113,"Drew Dober
Rafael Alves","1
0","62
37","0
1","0
0",Lightweight,"KO/TKO
Punch",3,1:30
114,"Hamdy Abdelwahab
Don'Tale Mayes","1
0","58
47","3
0","0
0",Heavyweight,S-DEC,3,5:00
115,"Drakkar Klose
Rafa Garcia","0
0","61
34","2
3","0
0",Lightweight,U-DEC,3,5:00
116,"Michael Morales
Adam Fugitt","2
0","83
64","0
1","0
0",Welterweight,"KO/TKO
Punch",3,1:09
117,"Joselyne Edwards
Ji Yeon Kim","0
0","101
78","1
0","0
0",Women's Bantamweight,S-DEC,3,5:00
118,"Nicolae Negumereanu
Ihor Potieria","0
0","51
38","2
0","0
0",Light Heavyweight,"KO/TKO
Knees",2,3:33
119,"Orion Cosce
Blood Diamond","0
0","25
63","3
0","0
0",Welterweight,U-DEC,3,5:00
120,"Curtis Blaydes
Tom Aspinall","0
0","4
3","0
0","0
0",Heavyweight,KO/TKO,1,0:15
121,"Jack Hermansson
Chris Curtis","0
0","100
43","0
0","0
0",Middleweight,U-DEC,3,5:00
122,"Paddy Pimblett
Jordan Leavitt","0
0","17
16","1
3","4
0",Lightweight,"SUB
Rear Naked Choke",2,2:46
123,"Nikita Krylov
Alexander Gustafsson","2
0","26
5","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,1:07
124,"Molly McCann
Hannah Goldy","1
0","24
9","0
0","0
0",Women's Flyweight,"KO/TKO
Spinning Back Elbow",1,3:52
125,"Volkan Oezdemir
Paul Craig","0
0","72
33","1
0","0
0",Light Heavyweight,U-DEC,3,5:00
126,"Ludovit Klein
Mason Jones","1
0","50
43","0
0","0
0",Lightweight,U-DEC,3,5:00
127,"Marc Diakiese
Damir Hadzovic","0
0","13
5","8
0","0
0",Lightweight,U-DEC,3,5:00
128,"Nathaniel Wood
Charles Rosa","0
0","97
51","1
2","0
1",Featherweight,U-DEC,3,5:00
129,"Jonathan Pearce
Makwan Amirkhani","0
0","90
11","4
3","0
0",Featherweight,"KO/TKO
Punches",2,4:10
130,"Muhammad Mokaev
Charles Johnson","0
0","12
12","12
0","0
0",Flyweight,U-DEC,3,5:00
131,"Jai Herbert
Kyle Nelson","0
0","36
41","0
0","0
0",Lightweight,U-DEC,3,5:00
132,"Victoria Leonardo
Mandy Bohm","0
0","39
52","2
0","0
1",Women's Flyweight,U-DEC,3,5:00
133,"Nicolas Dalby
Claudio Silva","0
0","45
11","1
4","1
0",Welterweight,U-DEC,3,5:00
134,"Yair Rodriguez
Brian Ortega","0
0","23
22","0
1","0
0",Featherweight,KO/TKO,1,4:11
135,"Amanda Lemos
Michelle Waterson-Gomez","0
0","20
29","0
1","1
0",Women's Strawweight,"SUB
Guillotine Choke",2,1:48
136,"Li Jingliang
Muslim Salikhov","1
0","38
23","1
1","0
0",Welterweight,"KO/TKO
Punches",2,4:38
137,"Matt Schnell
Sumudaerji","0
1","47
58","2
0","2
0",Flyweight,"SUB
Triangle Choke",2,4:24
138,"Shane Burgos
Charles Jourdain","0
0","42
113","2
0","3
0",Featherweight,M-DEC,3,5:00
139,"Lauren Murphy
Miesha Tate","0
0","102
85","2
0","0
0",Women's Flyweight,U-DEC,3,5:00
140,"Punahele Soriano
Dalcha Lungiambula","1
0","17
11","0
2","0
0",Middleweight,"KO/TKO
Punch",2,0:28
141,"Ricky Simon
Jack Shore","1
0","25
19","2
0","1
0",Bantamweight,"SUB
Arm Triangle",2,3:28
142,"Bill Algeo
Herbert Burns","0
0","28
10","1
1","0
2",Featherweight,KO/TKO,2,1:50
143,"Dustin Jacoby
Da-Un Jung","1
0","14
14","0
0","0
0",Light Heavyweight,"KO/TKO
Punch",1,3:13
144,"Dustin Stoltzfus
Dwight Grant","0
0","49
52","2
0","0
0",Middleweight,U-DEC,3,5:00
145,"Emily Ducote
Jessica Penne","0
0","116
63","0
0","0
0",Women's Strawweight,U-DEC,3,5:00
146,"Rafael Fiziev
Rafael Dos Anjos","1
0","64
54","0
2","0
0",Lightweight,"KO/TKO
Punch",5,0:18
147,"Caio Borralho
Armen Petrosyan","0
0","12
31","4
0","0
0",Middleweight,U-DEC,3,5:00
148,"Said Nurmagomedov
Douglas Silva de Andrade","0
0","42
28","1
1","0
0",Bantamweight,U-DEC,3,5:00
149,"Chase Sherman
Jared Vanderaa","1
0","137
109","0
0","0
0",Heavyweight,"KO/TKO
Punches",3,3:10
150,"Aiemann Zahabi
Ricky Turcios","0
0","54
27","0
0","0
0",Bantamweight,U-DEC,3,5:00
151,"Jamie Mullarkey
Michael Johnson","0
1","96
66","0
0","0
0",Lightweight,S-DEC,3,5:00
152,"Cody Brundage
Tresean Gore","1
0","15
8","1
0","0
0",Middleweight,"KO/TKO
Punch",1,3:50
153,"Antonina Shevchenko
Cortney Casey","0
0","55
33","0
2","0
0",Women's Flyweight,S-DEC,3,5:00
154,"David Onama
Garrett Armfield","0
0","29
21","2
0","1
0",Featherweight,"SUB
Arm Triangle",2,3:13
155,"Kennedy Nzechukwu
Karl Roberson","0
0","20
9","5
0","1
0",Light Heavyweight,"KO/TKO
Elbows",3,2:19
156,"Saidyokub Kakhramonov
Ronnie Lawrence","0
0","32
15","10
1","0
0",Bantamweight,U-DEC,3,5:00
157,"Israel Adesanya
Jared Cannonier","0
0","116
90","0
0","0
0",Middleweight,U-DEC,5,5:00
158,"Alexander Volkanovski
Max Holloway","0
0","199
127","0
0","0
0",Featherweight,U-DEC,5,5:00
159,"Alex Pereira
Sean Strickland","1
0","25
15","0
0","0
0",Middleweight,"KO/TKO
Punches",1,2:36
160,"Bryan Barberena
Robbie Lawler","0
0","147
81","0
0","0
0",Welterweight,"KO/TKO
Punches",2,4:47
161,"Pedro Munhoz
Sean O'Malley","0
0","26
25","0
0","0
0",Bantamweight,CNC,2,3:09
162,"Jalin Turner
Brad Riddell","0
0","3
2","0
0","1
0",Lightweight,"SUB
Guillotine Choke",1,0:45
163,"Jim Miller
Donald Cerrone","0
0","24
21","1
0","1
0",Welterweight,"SUB
Guillotine Choke",2,1:32
164,"Ian Garry
Gabe Green","1
0","116
90","1
1","0
0",Welterweight,U-DEC,3,5:00
165,"Dricus Du Plessis
Brad Tavares","0
0","113
82","0
0","0
0",Middleweight,U-DEC,3,5:00
166,"Andre Muniz
Uriah Hall","0
0","17
6","4
0","0
0",Middleweight,U-DEC,3,5:00
167,"Maycee Barber
Jessica Eye","0
0","63
35","0
1","0
0",Women's Flyweight,U-DEC,3,5:00
168,"Julija Stoliarenko
Jessica-Rose Clark","0
0","6
9","1
0","1
0",Women's Bantamweight,"SUB
Armbar",1,0:42
169,"Mateusz Gamrot
Arman Tsarukyan","0
1","81
95","6
1","0
0",Lightweight,U-DEC,5,5:00
170,"Shavkat Rakhmonov
Neil Magny","0
0","19
11","2
0","1
0",Welterweight,"SUB
Guillotine Choke",2,4:58
171,"Josh Parisian
Alan Baudot","0
1","42
49","3
0","0
0",Heavyweight,"KO/TKO
Punches",2,3:04
172,"Thiago Moises
Christos Giagos","0
0","3
2","1
0","1
0",Lightweight,"SUB
Rear Naked Choke",1,3:05
173,"Umar Nurmagomedov
Nate Maness","0
0","74
2","3
0","0
0",Bantamweight,U-DEC,3,5:00
174,"Chris Curtis
Rodolfo Vieira","0
0","109
86","0
0","0
0",Middleweight,U-DEC,3,5:00
175,"Carlos Ulberg
Tafon Nchukwi","1
0","15
3","0
0","0
0",Light Heavyweight,"KO/TKO
Punches",1,1:15
176,"Shayilan Nuerdanbieke
TJ Brown","1
0","47
42","3
1","0
4",Featherweight,U-DEC,3,5:00
177,"Sergey Morozov
Raulian Paiva","0
0","68
63","2
1","0
0",Bantamweight,U-DEC,3,5:00
178,"Cody Durden
JP Buys","1
0","23
7","0
0","0
0",Flyweight,"KO/TKO
Punch",1,1:08
179,"Mario Bautista
Brian Kelleher","0
0","6
2","2
0","1
0",Bantamweight,"SUB
Rear Naked Choke",1,2:27
180,"Vanessa Demopoulos
Jinh Yu Frey","0
0","66
62","1
0","0
0",Women's Strawweight,S-DEC,3,5:00
181,"Josh Emmett
Calvin Kattar","0
0","107
130","0
0","0
0",Featherweight,S-DEC,5,5:00
182,"Kevin Holland
Tim Means","0
0","36
21","0
2","1
0",Welterweight,"SUB
D'Arce Choke",2,1:28
183,"Joaquin Buckley
Albert Duraev","2
0","27
10","0
2","0
0",Middleweight,KO/TKO,2,5:00
184,"Damir Ismagulov
Guram Kutateladze","0
0","79
78","0
1","0
0",Lightweight,S-DEC,3,5:00
185,"Gregory Rodrigues
Julian Marquez","3
0","49
13","0
0","0
0",Middleweight,"KO/TKO
Punch",1,3:18
186,"Adrian Yanez
Tony Kelley","1
0","35
20","0
0","0
0",Bantamweight,"KO/TKO
Punches",1,3:49
187,"Natalia Silva
Jasmine Jasudavicius","0
0","96
31","2
0","0
0",Women's Flyweight,U-DEC,3,5:00
188,"Jeremiah Wells
Court McGee","1
0","7
3","0
0","0
0",Welterweight,"KO/TKO
Punch",1,1:34
189,"Ricardo Ramos
Danny Chavez","1
0","4
3","0
0","0
0",Featherweight,"KO/TKO
Spinning Back Elbow",1,1:12
190,"Maria Oliveira
Gloria de Paula","0
0","96
105","2
2","0
0",Women's Strawweight,S-DEC,3,5:00
191,"Cody Stamann
Eddie Wineland","1
0","27
3","0
0","0
0",Bantamweight,"KO/TKO
Punches",1,0:59
192,"Phil Hawes
Deron Winn","1
0","118
32","1
0","0
0",Middleweight,"KO/TKO
Elbows",2,4:25
193,"Roman Dolidze
Kyle Daukaus","2
0","8
4","0
0","0
0",Middleweight,"KO/TKO
Knee",1,1:13
